,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
0,Flora,Angiospermas,Salicaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
2,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
3,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
4,Flora,Angiospermas,Santalaceae,VU,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira,Agropecuária",Sim,Não,2,Sim,BA
5,Flora,Angiospermas,Myrtaceae,EN,Cerrado,"Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
5,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,"Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,"BA,ES"
7,Fauna,Invertebrados Terrestres,Coenagrionidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,2,Sim,ES
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas,Turismo/Recreação",Sim,Não,3,Sim,"PR,SP"
9,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,MG"
