,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais_ameacas,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados_de_ocorrencia
0,Flora,Angiospermas,Salicaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Cerrado,Agropecuária,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Cerrado,Assentamento Humano: cidades,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Cerrado,Caça/Pesca,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Cerrado,Extração Florestal,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Agropecuária,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Caça/Pesca,Sim,Não,4,Não,SP
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,BA
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,ES
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,MG
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,PR
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,RJ
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,RS
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,SC
1,Fauna,Aves,Cracidae,EN,Mata Atlântica,Extração Florestal,Sim,Não,4,Não,SP
2,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
3,Flora,Angiospermas,Malvaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
4,Flora,Angiospermas,Santalaceae,VU,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
4,Flora,Angiospermas,Santalaceae,VU,Cerrado,Extração de Madeira,Sim,Não,2,Sim,BA
4,Flora,Angiospermas,Santalaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Sim,BA
5,Flora,Angiospermas,Myrtaceae,EN,Cerrado,Mineração,Sim,Sim,3,Não,MG
5,Flora,Angiospermas,Myrtaceae,EN,Cerrado,Desenvolvimento e Infraestrutura,Sim,Sim,3,Não,MG
5,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,Mineração,Sim,Sim,3,Não,MG
5,Flora,Angiospermas,Myrtaceae,EN,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,3,Não,MG
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,BA
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,ES
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Poluição,Sim,Não,2,Sim,BA
6,Fauna,Invertebrados Terrestres,Coenagrionidae,VU,Mata Atlântica,Poluição,Sim,Não,2,Sim,ES
7,Fauna,Invertebrados Terrestres,Coenagrionidae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
7,Fauna,Invertebrados Terrestres,Coenagrionidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,ES
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,Mudança na dinâmica das espécies nativas,Sim,Não,3,Sim,PR
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,Mudança na dinâmica das espécies nativas,Sim,Não,3,Sim,SP
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,3,Sim,PR
8,Fauna,Invertebrados Terrestres,Hypogastruridae,EN,Mata Atlântica,Turismo/Recreação,Sim,Não,3,Sim,SP
9,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,ES
9,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,MG
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,ES
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,MG
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,2,Sim,ES
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,2,Sim,MG
10,Flora,Angiospermas,Plantaginaceae,CR,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,2,Sim,RJ
11,Fauna,Peixes Marinhos,Achiridae,VU,Mata Atlântica,Caça/Pesca,Sim,Não,1,Sim,BA
11,Fauna,Peixes Marinhos,Achiridae,VU,Mata Atlântica,Outras Atividades Econômicas: energia,Sim,Não,1,Sim,BA
11,Fauna,Peixes Marinhos,Achiridae,VU,Mata Atlântica,Poluição,Sim,Não,1,Sim,BA
11,Fauna,Peixes Marinhos,Achiridae,VU,Mata Atlântica,Assoreamento,Sim,Não,1,Sim,BA
12,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
13,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
13,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,MG
13,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,RJ
14,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,BA
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,CE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,PE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,ES
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,MG
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,SP
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Informação não disponível,RS
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,BA
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,CE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,PE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,ES
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,MG
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,SP
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Informação não disponível,RS
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,BA
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,CE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,PE
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,ES
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,MG
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,SP
15,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Turismo/Recreação,Sim,Sim,3,Informação não disponível,RS
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Agropecuária,Sim,Não,2,Não,PR
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Agropecuária,Sim,Não,2,Não,RS
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Queimadas,Sim,Não,2,Não,PR
16,Flora,Angiospermas,Asteraceae,EN,Pampa,Queimadas,Sim,Não,2,Não,RS
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Queimadas,Sim,Não,2,Sim,BA
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Extração de Madeira,Sim,Não,2,Sim,BA
17,Flora,Angiospermas,Asteraceae,VU,Caatinga,Assentamento Humano: cidades,Sim,Não,2,Sim,BA
18,Flora,Angiospermas,Asteraceae,EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
19,Flora,Angiospermas,Asteraceae,VU,Caatinga,Vazio,Sim,Sim,2,Informação não disponível,MG
19,Flora,Angiospermas,Asteraceae,VU,Cerrado,Vazio,Sim,Sim,2,Informação não disponível,MG
20,Flora,Angiospermas,Asteraceae,CR,Caatinga,Queimadas,Não,Não,1,Sim,BA
21,Fauna,Aves,Furnariidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,BA
21,Fauna,Aves,Furnariidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,GO
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,MS
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,MG
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,SP
22,Flora,Angiospermas,Arecaceae,VU,Cerrado,Agropecuária,Sim,Não,2,Informação não disponível,PR
