,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
0,Flora,Angiospermas,Salicaceae,Abatia angeliana,Vulnerável (VU),VU,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Sim,PR
1,Fauna,Aves,Cracidae,Aburria jacutinga,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Agropecuária,Assentamento Humano: cidades,Caça/Pesca,Extração Florestal",Sim,Não,4,Não,"BA,ES,MG,PR,RJ,RS,SC,SP"
2,Flora,Angiospermas,Malvaceae,Abutilon anodoides,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Sim,RJ
3,Flora,Angiospermas,Malvaceae,Abutilon nigricans,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SP
4,Flora,Angiospermas,Santalaceae,Acanthosyris paulo-alvinii,Vulnerável (VU),VU,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira,Agropecuária",Sim,Não,2,Sim,BA
5,Flora,Angiospermas,Myrtaceae,Accara elegans,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Mineração,Desenvolvimento e Infraestrutura",Sim,Sim,3,Não,MG
6,Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis cornicauda,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Poluição",Sim,Não,2,Sim,"BA,ES"
7,Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis mourei,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,2,Sim,ES
8,Fauna,Invertebrados Terrestres,Hypogastruridae,Acherontides eleonorae,Em Perigo (EN),EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas,Turismo/Recreação",Sim,Não,3,Sim,"PR,SP"
9,Flora,Angiospermas,Plantaginaceae,Achetaria caparaoense,Criticamente em Perigo (CR),CR,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,MG"
10,Flora,Angiospermas,Plantaginaceae,Achetaria latifolia,Criticamente em Perigo (CR),CR,Mata Atlântica,"Assentamento Humano: cidades,Desenvolvimento e Infraestrutura",Sim,Sim,2,Sim,"ES,MG,RJ"
11,Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Vulnerável (VU),VU,Mata Atlântica,"Caça/Pesca,Outras Atividades Econômicas: energia,Poluição,Assoreamento",Sim,Não,1,Sim,BA
12,Flora,Angiospermas,Orchidaceae,Acianthera adiri,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
13,Flora,Angiospermas,Orchidaceae,Acianthera heringeri,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG,RJ"
14,Flora,Angiospermas,Orchidaceae,Acianthera langeana,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,PR
15,Flora,Angiospermas,Orchidaceae,Acianthera papillosa,Vulnerável (VU),VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Turismo/Recreação",Sim,Sim,3,Informação não disponível,"BA,CE,PE,ES,MG,SP,RS"
16,Flora,Angiospermas,Asteraceae,Acmella pusilla,Em Perigo (EN),EN,Pampa,"Agropecuária,Queimadas",Sim,Não,2,Não,"PR,RS"
17,Flora,Angiospermas,Asteraceae,Acritopappus catolesensis,Vulnerável (VU),VU,Caatinga,"Queimadas,Extração de Madeira,Assentamento Humano: cidades",Sim,Não,2,Sim,BA
18,Flora,Angiospermas,Asteraceae,Acritopappus connatifolius,Em Perigo (EN),EN,Caatinga,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
19,Flora,Angiospermas,Asteraceae,Acritopappus irwinii,Vulnerável (VU),VU,"Caatinga,Cerrado",Vazio,Sim,Sim,2,Informação não disponível,MG
20,Flora,Angiospermas,Asteraceae,Acritopappus pintoi,Criticamente em Perigo (CR),CR,Caatinga,Queimadas,Não,Não,1,Sim,BA
21,Fauna,Aves,Furnariidae,Acrobatornis fonsecai,Vulnerável (VU),VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"BA,MG"
22,Flora,Angiospermas,Arecaceae,Acrocomia emensis,Vulnerável (VU),VU,Cerrado,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"GO,MS,MG,SP,PR"
23,Flora,Angiospermas,Eriocaulaceae,Actinocephalus cipoensis,Criticamente em Perigo (CR),CR,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Sim,2,Sim,MG
